ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1.3.1.1.3.1-1,00CR10,"Cable Tray Installation (Under Floor)",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,06/11/2018,20/11/2018,04/12/2018,31/01/2019,"SUB-EIC-180 FS,SI-BZP4-27 FS,SI-BZP4B25 FS,SI-CR-4-40 FS,EDS.1040 FS,SI-BZP4-25 FS","SUB-EIC-180,SI-BZP4-27,SI-BZP4B25,SI-CR-4-40,EDS.1040,SI-BZP4-25","00CR15 FS,ECS19.1420 FS","00CR15,ECS19.1420",170,209,174,219,39,48,40,51,38,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",6,2,0.0000137967,0.006103764,0.0059003052,28,0.0,0.0001289458,0.0410958904,0.0061538462,0.0208263889,0.0156657963,0.0186615187,0.0627802691,0.0,0.0195478951
1.3.1.1.3.1-2,A3300,"Control Room Equipment Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,14/06/2019,07/05/2019,26/06/2019,06/07/2019,"SI-CR-4-40 FS,ECS19.1420 FS","SI-CR-4-40,ECS19.1420","TOP2330 FS,TOP2660 FS,TOP2650 FS","TOP2330,TOP2660,TOP2650",202,233,204,242,47,54,47,56,63,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",2,3,0.0000203799,0.0038657172,0.0097660224,12,0.0,0.0007006957,0.0136986301,0.0092307692,0.0307638889,0.009921671,0.0308880309,0.0269058296,0.0,0.2538213341
1.3.1.1.3.1-3,A3310,"Installation of Telecommunication System",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,22/06/2019,13/05/2019,02/07/2019,06/07/2019,"A1010 FS,00CR60 FS","A1010,00CR60","TOP2330 FS","TOP2330",203,234,204,242,47,54,47,56,64,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",2,1,0.0000000414,0.0018311292,0.0077314344,10,0.0,0.0002277241,0.0136986301,0.0030769231,0.0000625,0.0046997389,0.0244530245,0.0224215247,0.0,0.0600221161
1.3.1.1.3.1-4,ECS19.1420,"Cable Laying of Local Control Room",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,18/04/2019,18/04/2019,14/05/2019,26/06/2019,"CP-BZK7A25 FS,SI-CP-4-40 FS,00CR10 FS,00CR80 FS,SI-BZK4-58 FS,00CR100 FS","CP-BZK7A25,SI-CP-4-40,00CR10,00CR80,SI-BZK4-58,00CR100","A3300 FS","A3300",194,230,197,240,45,53,46,56,54,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",6,1,0.0000206283,0.004069176,0.0095625636,26,0.0,0.0007194566,0.0410958904,0.0030769231,0.0311388889,0.0104438642,0.0302445302,0.0582959641,0.0,0.2615085795
1.3.1.1.3.1-5,00CR15,"Install Floor",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,01/04/2019,03/04/2019,13/04/2019,07/05/2019,"00CR10 FS","00CR10","00CR100 FF,00CR20 FS","00CR100,00CR20",191,228,193,233,44,53,45,54,51,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",1,2,0.0000083222,0.0059003052,0.006103764,12,0.0,0.0001158975,0.0068493151,0.0061538462,0.0125625,0.0151436031,0.0193050193,0.0269058296,0.0,0.0142013673
1.3.1.1.3.1-6,00CR20,"I/O Cabinet Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,29/01/2019,10/10/2018,01/03/2019,04/03/2019,"EDS.1040 FS,SI-CR-4-40 FS,00CR15 FS,SI-CP-4-40 FS","EDS.1040,SI-CR-4-40,00CR15,SI-CP-4-40","TOP2330 FS,00CR30 FS","TOP2330,00CR30",182,203,187,224,42,47,43,52,46,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",4,2,0.0000074616,0.0056968464,0.0065106816,31,0.0,0.0002137413,0.0273972603,0.0061538462,0.0112633929,0.0146214099,0.0205920206,0.0695067265,0.0,0.0542926662
1.3.1.1.3.1-7,00CR40,"Engineer Work Station Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,12/03/2019,15/03/2019,26/03/2019,21/05/2019,"SI-CP-4-40 FS,EDS.1040 FS,SI-CR-4-40 FS,00CR30 FS","SI-CP-4-40,EDS.1040,SI-CR-4-40,00CR30","TOP2330 FS,00CR50 FS","TOP2330,00CR50",188,226,190,235,44,52,44,54,48,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",4,2,0.0000061574,0.0052899288,0.0069175992,14,0.0,0.0003335434,0.0273972603,0.0061538462,0.0092946429,0.0135770235,0.0218790219,0.0313901345,0.0,0.1033813578
1.3.1.1.3.1-8,00CR50,"Operator Work Station Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,29/06/2019,04/07/2019,04/07/2019,25/07/2019,"SI-CR-4-40 FS,EDS.1040 FS,00CR40 FS,SI-CP-4-40 FS,00CR70 FF","SI-CR-4-40,EDS.1040,00CR40,SI-CP-4-40,00CR70","00CR60 FS,TOP2330 FS,00CR100 FF","00CR60,TOP2330,00CR100",204,241,205,244,47,56,47,57,65,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",5,3,0.0000062816,0.00508647,0.0073245168,5,0.0,0.0004436682,0.0342465753,0.0092307692,0.0094821429,0.0130548303,0.0231660232,0.0112107623,0.0,0.1485047801
1.3.1.1.3.1-9,00CR60,"Network/Cabinet Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,18/06/2019,10/05/2019,21/06/2019,25/06/2019,"00CR50 FS,EDS.1040 FS,SI-CP-4-40 FS,SI-CR-4-40 FS","00CR50,EDS.1040,SI-CP-4-40,SI-CR-4-40","TOP2330 FS,00CR80 FS,A3310 FS","TOP2330,00CR80,A3310",202,234,203,240,47,54,47,56,63,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",4,3,0.0000029693,0.0046795524,0.0075279756,3,0.0,0.0002742964,0.0273972603,0.0092307692,0.0044821429,0.0120104439,0.0238095238,0.0067264574,0.0,0.0791050257
1.3.1.1.3.1-10,00CR70,"AC/DC System Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,18/06/2019,14/05/2019,20/06/2019,28/06/2019,"SI-CR-4-40 FS,EDS.1040 FS,SI-CP-4-40 FS","SI-CR-4-40,EDS.1040,SI-CP-4-40","TOP2330 FS,00CR50 FF","TOP2330,00CR50",202,234,203,241,47,54,47,56,63,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",3,2,0.0000001124,0.0052899288,0.0008138352,2,0.0,0.0000839836,0.0205479452,0.0061538462,0.0001696429,0.0135770235,0.0025740026,0.0044843049,0.0,0.0011247152
1.3.1.1.3.1-11,00CR80,"Hardwire Switches Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,07/06/2019,22/06/2019,13/06/2019,27/06/2019,"SI-CP-4-40 FS,EDS.1040 FS,00CR60 FS,SI-CR-4-40 FS","SI-CP-4-40,EDS.1040,00CR60,SI-CR-4-40","TOP2330 FS,ECS19.1420 FS","TOP2330,ECS19.1420",201,240,202,240,46,56,47,56,62,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",4,2,0.0000007886,0.0042726348,0.0077314344,6,1.0,0.0001770763,0.0273972603,0.0061538462,0.0011904762,0.0109660574,0.0244530245,0.0134529148,1.0,0.0392692625
1.3.1.1.3.1-12,00CR90,"Furniture Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,09/03/2019,15/03/2019,14/03/2019,29/04/2019,"EDS.1040 FS,SI-CR-4-40 FS,SI-CP-4-40 FS","EDS.1040,SI-CR-4-40,SI-CP-4-40","","",188,226,189,232,43,52,44,54,48,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",3,0,0.0,0.0,0.0008138352,5,0.0,0.000088101,0.0205479452,0.0,0.0,0.0,0.0025740026,0.0112107623,0.0,0.0028117879
1.3.1.1.3.1-13,00CR100,"Printer Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,01/06/2019,22/06/2019,04/06/2019,20/07/2019,"SI-CR-4-40 FS,00CR15 FF,EDS.1040 FS,SUB-EIC-180 FS,00CR50 FF","SI-CR-4-40,00CR15,EDS.1040,SUB-EIC-180,00CR50","TOP2330 FS,ECS19.1420 FS","TOP2330,ECS19.1420",200,240,200,244,46,56,46,56,61,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",5,2,0.0000080511,0.0042726348,0.0075279756,3,0.0,0.0002828267,0.0342465753,0.0061538462,0.0121532738,0.0109660574,0.0238095238,0.0067264574,0.0,0.0826002873
1.3.1.1.3.1-14,00CR30,"Control Cabinet Installation",7112,"CCGTD1_IPS",TT_Task,"58512",-,-,-,100,TK_Complete,27/02/2019,10/10/2018,15/03/2019,12/03/2019,"SI-CP-4-40 FS,SI-CR-4-40 FS,00CR20 FS","SI-CP-4-40,SI-CR-4-40,00CR20","00CR40 FS,TOP2330 FS","00CR40,TOP2330",187,203,189,225,43,47,44,52,48,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Control Room;(00CR) Control Room Equipment",3,2,0.000006601,0.0054933876,0.0067141404,16,0.0,0.0002737327,0.0205479452,0.0061538462,0.0099642857,0.0140992167,0.0212355212,0.0358744395,0.0,0.078874044
1.3.1.1.4,58496,"Others (FF & Buildings)",7112,"CCGTD1_IPS",WBS,"58325",,,,100,Complete,09/02/2019,15/01/2019,14/04/2020,17/03/2020,,,,,184,217,245,278,43,50,57,65,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction"
1.3.1.1.4.1,58507,"Buildings",7112,"CCGTD1_IPS",WBS,"58496",,,,100,Complete,01/04/2019,16/04/2019,13/09/2019,18/01/2020,,,,,191,230,215,270,44,53,50,63,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings)"
1.3.1.1.4.1.1,58508,"Communication (CY)",7112,"CCGTD1_IPS",WBS,"58507",,,,100,Complete,01/04/2019,16/04/2019,13/09/2019,18/01/2020,,,,,191,230,215,270,44,53,50,63,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings"
1.3.1.1.4.1.1.1,58510,"(10CY) Communication / Security Systems 10",7112,"CCGTD1_IPS",WBS,"58508",,,,100,Complete,24/04/2019,24/04/2019,12/09/2019,18/01/2020,,,,,195,231,215,270,45,54,50,63,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY)"
1.3.1.1.4.1.1.1-1,10CY10,"Erection Telecommunication Other Buildings (Except UCA)",7112,"CCGTD1_IPS",TT_Task,"58510",-,-,-,100,TK_Complete,24/04/2019,24/04/2019,30/05/2019,03/08/2019,"SUB-EIC-180 FS,KD_D02 FS,SI-CYA4-25 FS,SI-CYP4-25 FS,KD_E07 FS","SUB-EIC-180,KD_D02,SI-CYA4-25,SI-CYP4-25,KD_E07","10CY20 FS","10CY20",195,231,200,246,45,54,46,57,55,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(10CY) Communication / Security Systems 10",5,1,0.00000472,0.0026449644,0.0056968464,36,0.0,0.0001607924,0.0342465753,0.0030769231,0.007125,0.0067885117,0.018018018,0.0807174888,0.0,0.032596964
1.3.1.1.4.1.1.1-2,10CY20,"Cable Raceways",7112,"CCGTD1_IPS",TT_Task,"58510",-,-,-,100,TK_Complete,06/06/2019,25/05/2019,08/07/2019,26/06/2019,"10CY10 FS","10CY10","10CY30 FS","10CY30",201,236,205,240,46,55,48,56,62,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(10CY) Communication / Security Systems 10",1,1,0.0000040576,0.0024415056,0.0059003052,32,1.0,0.0002180909,0.0068493151,0.0030769231,0.006125,0.0062663185,0.0186615187,0.0717488789,1.0,0.05607494
1.3.1.1.4.1.1.1-3,10CY30,"Cable Pulling",7112,"CCGTD1_IPS",TT_Task,"58510",-,-,-,100,TK_Complete,18/06/2019,13/06/2019,12/07/2019,10/08/2019,"10CY20 FS","10CY20","10CY40 FS","10CY40",202,238,206,247,47,55,48,57,63,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(10CY) Communication / Security Systems 10",1,1,0.0000033123,0.0022380468,0.006103764,24,0.0,0.0002669155,0.0068493151,0.0030769231,0.005,0.0057441253,0.0193050193,0.0538116592,0.0,0.0760807045
1.3.1.1.4.1.1.1-4,10CY50,"Precommissioning",7112,"CCGTD1_IPS",TT_Task,"58510",-,-,-,100,TK_Complete,31/08/2019,06/09/2019,12/09/2019,18/01/2020,"10CY40 FS","10CY40","TOP1040 FS","TOP1040",213,251,215,270,49,58,50,63,71,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(10CY) Communication / Security Systems 10",1,1,0.0000015733,0.0018311292,0.0065106816,12,0.0,0.0003440811,0.0068493151,0.0030769231,0.002375,0.0046997389,0.0205920206,0.0269058296,0.0,0.1076991524
1.3.1.1.4.1.1.1-5,10CY40,"Cable Termination",7112,"CCGTD1_IPS",TT_Task,"58510",-,-,-,100,TK_Complete,29/06/2019,29/06/2019,24/07/2019,05/09/2019,"10CY30 FS","10CY30","10CY50 FS","10CY50",204,241,208,250,47,56,48,58,65,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(10CY) Communication / Security Systems 10",1,1,0.0000024842,0.002034588,0.0063072228,25,0.0,0.0003085517,0.0068493151,0.0030769231,0.00375,0.0052219321,0.0199485199,0.0560538117,0.0,0.0931410503
1.3.1.1.4.1.1.2,58509,"(00CY) Communication System in 00UCA",7112,"CCGTD1_IPS",WBS,"58508",,,,100,Complete,01/04/2019,16/04/2019,13/09/2019,20/11/2019,,,,,191,230,215,261,44,53,50,61,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY)"
1.3.1.1.4.1.1.2-1,00CY10,"Equipment Installation",7112,"CCGTD1_IPS",TT_Task,"58509",-,-,-,100,TK_Complete,01/04/2019,16/04/2019,17/04/2019,03/08/2019,"SUB-EIC-180 FS,SI-CYA4-25 FS,SI-CYP4-25 FS,KD_D02 FS","SUB-EIC-180,SI-CYA4-25,SI-CYP4-25,KD_D02","00CY20 FS","00CY20",191,230,194,246,44,53,45,57,51,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(00CY) Communication System in 00UCA",4,1,0.0000067074,0.003051882,0.0054933876,16,0.0,0.0001066273,0.0273972603,0.0030769231,0.010125,0.0078328982,0.0173745174,0.0358744395,0.0,0.0104029331
1.3.1.1.4.1.1.2-2,00CY20,"Cable Raceways",7112,"CCGTD1_IPS",TT_Task,"58509",-,-,-,100,TK_Complete,23/04/2019,23/04/2019,18/05/2019,27/06/2019,"00CY10 FS","00CY10","00CY30 FS","00CY30",194,231,198,240,45,54,46,56,55,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(00CY) Communication System in 00UCA",1,1,0.0000061692,0.0028484232,0.0056968464,25,0.0,0.0001719999,0.0068493151,0.0030769231,0.0093125,0.007310705,0.018018018,0.0560538117,0.0,0.0371892043
1.3.1.1.4.1.1.2-3,00CY30,"Cable Pulling",7112,"CCGTD1_IPS",TT_Task,"58509",-,-,-,100,TK_Complete,07/06/2019,30/05/2019,03/07/2019,10/08/2019,"00CY20 FS","00CY20","00CY40 FS","00CY40",201,236,205,247,46,55,47,57,62,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(00CY) Communication System in 00UCA",1,1,0.0000055481,0.0026449644,0.0059003052,26,0.0,0.0002276492,0.0068493151,0.0030769231,0.008375,0.0067885117,0.0186615187,0.0582959641,0.0,0.0599914172
1.3.1.1.4.1.1.2-4,00CY40,"Cable Termination",7112,"CCGTD1_IPS",TT_Task,"58509",-,-,-,100,TK_Complete,12/07/2019,12/06/2019,05/08/2019,02/09/2019,"00CY30 FS","00CY30","00CY50 FS","00CY50",206,238,209,250,48,55,48,58,66,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(00CY) Communication System in 00UCA",1,1,0.0000048443,0.0024415056,0.006103764,24,0.0,0.0002750716,0.0068493151,0.0030769231,0.0073125,0.0062663185,0.0193050193,0.0538116592,0.0,0.0794226465
1.3.1.1.4.1.1.2-5,00CY50,"Precommissioning",7112,"CCGTD1_IPS",TT_Task,"58509",-,-,-,100,TK_Complete,03/09/2019,03/09/2019,13/09/2019,20/11/2019,"00CY40 FS","00CY40","TOP2350 FS,TOP2640 FS","TOP2350,TOP2640",213,250,215,261,49,58,50,61,75,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Buildings;Communication (CY);(00CY) Communication System in 00UCA",1,2,0.0000040576,0.0022380468,0.0063072228,10,0.0,0.000315515,0.0068493151,0.0061538462,0.006125,0.0057441253,0.0199485199,0.0224215247,0.0,0.0959942751
1.3.1.1.4.2,58497,"Fire Fighting (SG)",7112,"CCGTD1_IPS",WBS,"58496",,,,100,Complete,09/02/2019,15/01/2019,14/04/2020,17/03/2020,,,,,184,217,245,278,43,50,57,65,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings)"
1.3.1.1.4.2.1,58506,"(10SGY) Fire Detection Sytsem",7112,"CCGTD1_IPS",WBS,"58497",,,,100,Complete,15/02/2019,15/02/2019,19/06/2019,20/01/2020,,,,,185,222,203,270,43,51,47,63,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG)"
1.3.1.1.4.2.1-1,A3220,"Installation Fire Detection System (SGY)",7112,"CCGTD1_IPS",TT_Task,"58506",-,-,-,100,TK_Complete,15/02/2019,15/02/2019,19/06/2019,20/01/2020,"SI-SG-4-56 FS,SI-CYE4-58 FS,SUB-BOP-160 FS,KD_E03 FS,KD_E04 FS,KD_E05 FS,A1010 FS","SI-SG-4-56,SI-CYE4-58,SUB-BOP-160,KD_E03,KD_E04,KD_E05,A1010","SC1230 FS","SC1230",185,222,203,270,43,51,47,63,47,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGY) Fire Detection Sytsem",7,1,0.0000159353,0.0016276704,0.0115971516,124,0.0,0.0003558631,0.0479452055,0.0030769231,0.0240546875,0.0041775457,0.0366795367,0.2780269058,0.0,0.1125268269
1.3.1.1.4.2.2,58505,"(10SGJ-01) FF CO2 System for PCC 10SGJ",7112,"CCGTD1_IPS",WBS,"58497",,,,100,Complete,11/10/2019,05/07/2019,27/11/2019,05/01/2020,,,,,219,242,226,268,51,56,52,62,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG)"
1.3.1.1.4.2.2-1,FSS22.1060,"Installation of Fire Fighting CO2 System for PCC 10SGJ",7112,"CCGTD1_IPS",TT_Task,"58505",-,-,-,100,TK_Complete,11/10/2019,05/07/2019,27/11/2019,05/01/2020,"KD_E03 FS,SI1MPB4-25 FS,SUB-BOP-160 FS,KD_D06 FS,KD_E04 FS,KD_E05 FS,A1010 FS,KD_D02 FS","KD_E03,SI1MPB4-25,SUB-BOP-160,KD_D06,KD_E04,KD_E05,A1010,KD_D02","TOP1650 FS,SC1220 FS","TOP1650,SC1220",219,242,226,268,51,56,52,62,79,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGJ-01) FF CO2 System for PCC 10SGJ",8,2,0.000009654,0.0022380468,0.0118006104,47,0.0,0.000171816,0.0547945205,0.0061538462,0.0145729167,0.0057441253,0.0373230373,0.1053811659,0.0,0.0371138684
1.3.1.1.4.2.3,58504,"(10SGJ-02) FF CO2 System CYE/SGJ for GT Noise Enclosure and Gas Skid",7112,"CCGTD1_IPS",WBS,"58497",,,,100,Complete,31/07/2019,05/07/2019,06/04/2020,04/01/2020,,,,,209,242,244,268,48,56,57,62,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG)"
1.3.1.1.4.2.3-1,10SGJ-02-10,"Install Skid+Auxiliaries",7112,"CCGTD1_IPS",TT_Task,"58504",-,-,-,100,TK_Complete,30/09/2019,08/10/2019,15/10/2019,19/10/2019,"SI1SGJ4-25 FS,KD_E03 FS,SUB-BOP-160 FS,KD_D06 FS,KD_E04 FS,KD_E05 FS,A1010 FS","SI1SGJ4-25,KD_E03,SUB-BOP-160,KD_D06,KD_E04,KD_E05,A1010","10SGJ-02-30 FS,10SGJ-02-20 SS","10SGJ-02-30,10SGJ-02-20",217,255,219,257,50,59,51,60,78,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGJ-02) FF CO2 System CYE/SGJ for GT Noise Enclosure and Gas Skid",7,2,0.0000117173,0.003051882,0.0115971516,15,1.0,0.0001108895,0.0479452055,0.0061538462,0.0176875,0.0078328982,0.0366795367,0.033632287,1.0,0.0121493536
1.3.1.1.4.2.3-2,10SGJ-02-20,"Install all pipepwork and Supports",7112,"CCGTD1_IPS",TT_Task,"58504",-,-,-,100,TK_Complete,31/07/2019,05/07/2019,12/09/2019,12/10/2019,"10SGJ-02-10 SS","10SGJ-02-10","10SGJ-02-40 FS","10SGJ-02-40",209,242,215,256,48,56,50,59,67,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGJ-02) FF CO2 System CYE/SGJ for GT Noise Enclosure and Gas Skid",1,1,0.0000024014,0.0026449644,0.0118006104,43,0.0,0.0001392281,0.0068493151,0.0030769231,0.003625,0.0067885117,0.0373230373,0.0964125561,0.0,0.023761055
1.3.1.1.4.2.3-3,10SGJ-02-30,"EC+I",7112,"CCGTD1_IPS",TT_Task,"58504",-,-,-,100,TK_Complete,16/10/2019,14/10/2019,12/11/2019,30/11/2019,"SI-BZK4-25 FS,SI-BZK4-58 FS,10SGJ-02-10 FS","SI-BZK4-25,SI-BZK4-58,10SGJ-02-10","10SGJ-02-50 FS","10SGJ-02-50",220,256,223,263,51,59,52,61,79,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGJ-02) FF CO2 System CYE/SGJ for GT Noise Enclosure and Gas Skid",3,1,0.0000054653,0.0024415056,0.012207528,27,0.0,0.0001202083,0.0205479452,0.0030769231,0.00825,0.0062663185,0.0386100386,0.0605381166,0.0,0.0159677056
1.3.1.1.4.2.3-4,10SGJ-02-40,"Hydro Test",7112,"CCGTD1_IPS",TT_Task,"58504",-,-,-,100,TK_Complete,28/03/2020,26/12/2019,06/04/2020,04/01/2020,"10SGJ-02-20 FS","10SGJ-02-20","10SGJ-02-50 FF","10SGJ-02-50",243,266,244,268,56,62,57,62,89,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGJ-02) FF CO2 System CYE/SGJ for GT Noise Enclosure and Gas Skid",1,1,0.0000004968,0.0024415056,0.0120040692,9,1.0,0.0001997615,0.0068493151,0.0030769231,0.00075,0.0062663185,0.037966538,0.0201793722,1.0,0.0485644964
1.3.1.1.4.2.3-5,10SGJ-02-50,"Precommissioning/Flush/Clean",7112,"CCGTD1_IPS",TT_Task,"58504",-,-,-,100,TK_Complete,28/03/2020,26/12/2019,06/04/2020,04/01/2020,"10SGJ-02-40 FF,10SGJ-02-30 FS","10SGJ-02-40,10SGJ-02-30","TOP1390 FS,SC1220 FS","TOP1390,SC1220",243,266,244,268,56,62,57,62,89,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGJ-02) FF CO2 System CYE/SGJ for GT Noise Enclosure and Gas Skid",2,2,0.0000043474,0.0022380468,0.0128179044,9,1.0,0.0003536436,0.0136986301,0.0061538462,0.0065625,0.0057441253,0.0405405405,0.0201793722,1.0,0.1116173843
1.3.1.1.4.2.4,58503,"(10SGC-01) FF Spary Deluge System for BAT/ BBT SGC",7112,"CCGTD1_IPS",WBS,"58497",,,,100,Complete,30/09/2019,27/05/2019,13/04/2020,17/03/2020,,,,,217,236,245,278,50,55,57,65,,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG)"
1.3.1.1.4.2.4-1,10SGC-01-10,"Install Deluge Pipework/Valves/Sprinklers",7112,"CCGTD1_IPS",TT_Task,"58503",-,-,-,100,TK_Complete,25/10/2019,19/08/2019,16/11/2019,12/10/2019,"10SGC-01-20 FS","10SGC-01-20","10SGC-01-30 FS","10SGC-01-30",221,248,224,256,51,57,52,59,80,,"CCGT D1_Integrated Programme Schedule;M&E;Construction;M&E Construction;Others (FF & Buildings);Fire Fighting (SG);(10SGC-01) FF Spary Deluge System for BAT/ BBT SGC",1,1,0.0000011593,0.0024415056,0.001017294,22,0.0,0.000190402,0.0068493151,0.0030769231,0.00175,0.0062663185,0.0032175032,0.0493273543,0.0,0.0447294503
